//#公众号：榴芒电视
//资源库：https://flowus.cn/kdsb

蜀小果,#genre#
新疆卫视,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/xjws_4000.m3u8
兵团卫视,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/btws_4000.m3u8
西藏卫视,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/xzwsH264_2000.m3u8
海南卫视,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/hnws_4000.m3u8
卡酷少儿,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/kkkt_4000.m3u8
金鹰卡通,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jykt_2000.m3u8
嘉佳卡通,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jjkt_2000.m3u8
成都少儿,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/CDTV-6_2000.m3u8
四川经济,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/SCTV-2-H265_4000.m3u8
四川文化,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/SCTV-3-H265_4000.m3u8
四川新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/SCTV-4H265_4000.m3u8
四川影视,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/SCTV-5-scysH265_4000.m3u8
四川科教,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/SCTV-ggSCTV-8_4000.m3u8
四川乡村,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/SCTV-kjSCTV-9-_4000.m3u8
峨嵋电影,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/emdygqH265_4000.m3u8
峨眉电影4K,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/emdy4k_8000
成都新闻,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/CDTV-1_4000.m3u8
成都经济,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/CDTV-2_4000.m3u8
成都都市,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/CDTV-3_4000.m3u8
成都影视,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/CDTV-4_4000.m3u8
成都公共,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/CDTV-5_4000.m3u8
成都购物,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/mrgw_4000.m3u8
成都高新,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/cdgxdstgq_2000.m3u8
CHC影迷电影,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/lnwsCHC-HDH265_4000.m3u8
CHC动作电影,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/wqCHCdzdyH265_4000.m3u8
CHC家庭影院,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jbtygqCHCjtyyH265_4000.m3u8
中央新影-老故事,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/lgs_2000.m3u8
中央新影-中学生,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/zxs_4000.m3u8
中央新影-发现之旅,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/fxzl_2000.m3u8
书画频道,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/sh_4000.m3u8
中国天气,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/zgqx_4000.m3u8
重温经典,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/CWJD_4000.m3u8
CETV1,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/CETV-1H264_4000.m3u8
CETV2,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/CETV-2_4000.m3u8
CETV4,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/CETV-4H264_2000.m3u8
四海钓鱼,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/shdy_4000.m3u8
车迷,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/cmpdH264_2000.m3u8
证劵服务,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jz_2000.m3u8
聚鲨环球精选,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/hqgw_4000.m3u8
动漫秀场,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/yybb-dmxc-H265_4000.m3u8
都市剧场,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/yxfydsjcHDH265_4000.m3u8
法治天地,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/fztx_4000.m3u8
欢笑剧场,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/hxjc-4k_8000
乐游,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/qjs-HDH265_4000.m3u8
魅力足球,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/mlyy_4000.m3u8
生活时尚,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/shssH265_4000.m3u8
新视觉,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ycxsjH265_4000.m3u8
汽摩,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/qmpdH264_2000.m3u8
家有购物,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jygw_4000.m3u8
家庭理财,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/jtlc_4000.m3u8
优购物,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/ygw_4000.m3u8
凤凰中文,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/test1_4000.m3u8
凤凰资讯,http://120.233.178.42:2380/hw1live.rxip.sc96655.com.huan.tv/live/test2_4000.m3u8
